A|11|Engins agricoles et forestiers
A|12|Espaces naturels et espaces verts
A|13|Etudes et assistance technique
A|14|Production
A|15|Soins aux animaux
B|11|Arts plastiques
B|12|Céramique
B|13|Décoration
B|14|Fibres et papier
B|15|Instruments de musique
B|16|Métal, verre, bijouterie et horlogerie
B|17|Taxidermie
B|18|Tissu et cuirs
C|11|Assurance
C|12|Banque
C|13|Finance
C|14|Gestion administrative banque et assurances
C|15|Immobilier
D|11|Commerce alimentaire et métiers de bouche
D|12|Commerce non alimentaire et de prestations de confort
D|13|Direction de magasin de détail
D|14|Force de vente
D|15|Grande distribution
E|11|Edition et communication
E|12|Images et sons
E|13|Industries graphiques
E|14|Publicité
F|11|Conception et études
F|12|Conduite et encadrement de chantier - travaux
F|13|Engins de chantier
F|14|Extraction
F|15|Montage de structures
F|16|Second oeuvre
F|17|Travaux et gros oeuvre
G|11|Accueil et promotion touristique
G|12|Animation d'activités de loisirs
G|13|Conception, commercialisation et vente de produits touristiques
G|14|Gestion et direction
G|15|Personnel d'étage en hôtellerie
G|16|Production culinaire
G|17|Accueil en hôtellerie
G|18|Service
H|01|Etudes et supports techniques à l'industrie
H|02|Production industrielle
H|11|Affaires et support technique client
H|12|Conception, recherche, études et développement
H|13|Hygiène Sécurité Environnement -HSE- industriels
H|14|Méthodes et gestion industrielles
H|15|Qualité et analyses industrielles
H|21|Alimentaire
H|22|Bois
H|23|Chimie et pharmacie
H|24|Cuir et textile
H|25|Direction, encadrement et pilotage de fabrication et production industrielles
H|26|Electronique et électricité
H|27|Energie
H|28|Matériaux de construction, céramique et verre
H|29|Mécanique, travail des métaux et outillage
H|31|Papier et carton
H|32|Plastique, caoutchouc
H|33|Préparation et conditionnement
H|34|Traitements thermiques et traitements de surfaces
I|11|Encadrement
I|12|Entretien technique
I|13|Equipements de production, équipements collectifs
I|14|Equipements domestiques et informatique
I|15|Travaux d'accès difficile
I|16|Véhicules, engins, aéronefs
J|11|Praticiens médicaux
J|12|Praticiens médico-techniques
J|13|Professionnels médico-techniques
J|14|Rééducation et appareillage
J|15|Soins paramédicaux
K|11|Accompagnement de la personne
K|12|Action sociale, socio-éducative et socio-culturelle
K|13|Aide à la vie quotidienne
K|14|Conception et mise en oeuvre des politiques publiques
K|15|Contrôle public
K|16|Culture et gestion documentaire
K|17|Défense, sécurité publique et secours
K|18|Développement territorial et emploi
K|19|Droit
K|21|Formation initiale et continue
K|22|Nettoyage et propreté industriels
K|23|Propreté et environnement urbain
K|24|Recherche
K|25|Sécurité privée
K|26|Services funéraires
L|11|Animation de spectacles
L|12|Artistes - interprètes du spectacle
L|13|Conception et production de spectacles
L|14|Sport professionnel
L|15|Techniciens du spectacle
M|11|Achats
M|12|Comptabilité et gestion
M|13|Direction d'entreprise
M|14|Organisation et études
M|15|Ressources humaines
M|16|Secrétariat et assistance
M|17|Stratégie commerciale, marketing et supervision des ventes
M|18|Systèmes d'information et de télécommunication
N|01|Logistique
N|02|Transport aérien et activités aéroportuaires
N|03|Transport maritime et fluvial et activités portuaires
N|04|Transport terrestre
N|11|Magasinage, manutention des charges et déménagement
N|12|Organisation de la circulation des marchandises
N|13|Personnel d'encadrement
N|21|Personnel navigant du transport aérien
N|22|Personnel sédentaire du transport aérien
N|31|Personnel navigant du transport maritime et fluvial
N|32|Personnel sédentaire du transport maritime et fluvial
N|41|Personnel de conduite du transport routier
N|42|Personnel d'encadrement du transport routier
N|43|Personnel navigant du transport terrestre
N|44|Personnel sédentaire du transport ferroviaire et réseau filo guidé
